Drift ID,Trip ID,Grid Cell ID,Site (MPA/ REF),Total Angler Hrs,total_fish_caught,cpue,ST_LatDD,ST_LonDD,End_LatDD,End_LonDD,drift_lat,drift_lon
ANM0715251301,ANT01_25,AN13,MPA,2.75,30,10.909090909090908,37.11032104,-122.34737,37.11246872,-122.34888,37.111394880000006,-122.348125
ANM0715251302,ANT01_25,AN13,MPA,2.75,27,9.818181818181818,37.11090851,-122.3463,37.11302948,-122.3477,37.111968995,-122.34700000000001
ANM0715251303,ANT01_25,AN13,MPA,2.85,23,8.070175438596491,37.10961151,-122.34666,37.11183167,-122.34831,37.11072159,-122.347485
ANM0715251401,ANT01_25,AN14,MPA,2.75,49,17.818181818181817,37.10686111,-122.34695,37.10863876,-122.34839,37.107749935,-122.34767
ANM0715251402,ANT01_25,AN14,MPA,2.75,63,22.90909090909091,37.10533905,-122.34487,37.10705185,-122.34717,37.10619545,-122.34602000000001
ANM0715251403,ANT01_25,AN14,MPA,2.533333333,70,27.63157895100416,37.10569,-122.34393,37.10758972,-122.34591,37.10663986,-122.34492
ANM0716251301,ANT02_25,AN13,MPA,2.816666667,14,4.970414200595218,37.10955048,-122.3472,37.11235809,-122.34769,37.110954285000005,-122.347445
ANM0716251302,ANT02_25,AN13,MPA,3,36,12,37.10964966,-122.34677,37.11243057,-122.34628,37.111040115,-122.346525
ANM0716251303,ANT02_25,AN13,MPA,2.9,29,10,37.11064911,-122.34632,37.11338043,-122.34597,37.11201477,-122.346145
ANM0716251901,ANT02_25,AN19,MPA,3,32,10.666666666666666,37.0906601,-122.32938,37.09255981,-122.32913,37.091609954999996,-122.329255
ANM0716251902,ANT02_25,AN19,MPA,2.983333333,26,8.715083799856433,37.09078979,-122.32875,37.0929184,-122.32897,37.091854095,-122.32885999999999
ANM0716251903,ANT02_25,AN19,MPA,3,19,6.333333333333333,37.09127045,-122.32896,37.09310913,-122.32848,37.092189790000006,-122.32872
ANM0716252101,ANT02_25,AN21,MPA,3,7,2.3333333333333335,37.090400699999996,-122.32053,37.09207153,-122.32067,37.091236115,-122.32060000000001
ANM0716252102,ANT02_25,AN21,MPA,2.07,51,24.637681159420293,37.09122849,-122.32423,37.09296036,-122.32458,37.092094425,-122.324405
ANM0716252103,ANT02_25,AN21,MPA,3.823333333,33,8.631211857770811,37.09091949,-122.3235,37.09289169,-122.32279,37.091905589999996,-122.323145
ANM0716252201,ANT02_25,AN22,MPA,2.273333333,2,0.879765396023426,37.09545135,-122.31625,37.09690857,-122.31615,37.09617996,-122.3162
ANM0716252202,ANT02_25,AN22,MPA,3.726666667,49,13.148479426373124,37.09366989,-122.31754,37.09648895,-122.31787,37.095079420000005,-122.31770499999999
ANM0716252203,ANT02_25,AN22,MPA,2.91,18,6.185567010309278,37.09571075,-122.31792,37.09788132,-122.31759,37.096796035,-122.317755
ANM0805251201,ANT04_25,AN12,MPA,2.966666667,20,6.7415730329503845,37.11827087,-122.34969,37.11460876,-122.34564,37.11643981500001,-122.347665
ANM0805251202,ANT04_25,AN12,MPA,2.933333333,20,6.818181818956611,37.11848831,-122.35003,37.114509580000004,-122.3459,37.116498945000004,-122.347965
ANM0805251203,ANT04_25,AN12,MPA,3,9,3,37.11867905,-122.34966,37.11437988,-122.34576,37.116529465,-122.34771
ANM0805251302,ANT04_25,AN13,MPA,2.95,20,6.779661016949152,37.11368942,-122.34932,37.10958862,-122.34511,37.11163902,-122.347215
ANM0805251303,ANT04_25,AN13,MPA,2.983333333,14,4.692737430691926,37.1134491,-122.34895,37.10950851,-122.34435,37.111478805,-122.34665000000001
ANM0805251701,ANT04_25,AN17,MPA,2.966666667,34,11.460674156015655,37.09901047,-122.33707,37.09595108,-122.33208,37.097480775,-122.334575
ANM0805251702,ANT04_25,AN17,MPA,2.983333333,42,14.078212292075778,37.09931946,-122.33703,37.09593964,-122.33241,37.09762954999999,-122.33472
ANM0805251703,ANT04_25,AN17,MPA,2.983333333,31,10.391061453674979,37.09902954,-122.33705,37.09531021,-122.33185,37.097169875,-122.33445
ANM0805251801,ANT04_25,AN18,MPA,2.966666667,43,14.494382020843327,37.09978104,-122.33016,37.09833908,-122.32676,37.09906006,-122.32846
ANM0805251802,ANT04_25,AN18,MPA,2.966666667,26,8.7640449428355,37.09973145,-122.33,37.09846878,-122.32672,37.099100115,-122.32836
ANM0805251803,ANT04_25,AN18,MPA,3.26,33,10.122699386503069,37.09999847,-122.33038,37.09817886,-122.32629,37.099088665,-122.32833500000001
ANM080525MM01,ANT04_25,ANMM,MPA,2.925,22,7.521367521367522,37.11312866,-122.34844,37.10894012,-122.34462,37.11103439,-122.34653
ANM0806251501,ANT05_25,AN15,MPA,3,51,17,37.10216904,-122.34846,37.1003418,-122.34444,37.10125542,-122.34645
ANM0806251502,ANT05_25,AN15,MPA,2.95,52,17.627118644067796,37.10195923,-122.34795,37.09973907,-122.34382,37.10084915,-122.345885
ANM0806251503,ANT05_25,AN15,MPA,2.386666667,30,12.569832400479074,37.10166168,-122.34792,37.09840012,-122.34344,37.1000309,-122.34568
ANM0806251901,ANT05_25,AN19,MPA,2.716666667,29,10.674846624457073,37.09329987,-122.32999,37.09257126,-122.32712,37.092935565000005,-122.328555
ANM0806251902,ANT05_25,AN19,MPA,2.841666667,33,11.612903224444233,37.09276962,-122.33052,37.09215927,-122.3273,37.092464445000005,-122.32891000000001
ANM0806251903,ANT05_25,AN19,MPA,2.85,34,11.929824561403509,37.09291077,-122.32986,37.09223938,-122.32717,37.092575075,-122.328515
ANR0715250401,ANT01_25,AN04,REF,1.8,19,10.555555555555555,37.22335052,-122.42262,37.22647095,-122.42236,37.224910734999995,-122.42249
ANR0715250402,ANT01_25,AN04,REF,1.833333333,20,10.909090911074381,37.22320938,-122.4232,37.22652054,-122.42236,37.224864960000005,-122.42277999999999
ANR0715250403,ANT01_25,AN04,REF,1.8,28,15.555555555555555,37.22328949,-122.4235,37.22674179,-122.42281,37.225015639999995,-122.42315500000001
ANR0715250501,ANT01_25,AN05,REF,1.844722222,9,4.878783316353415,37.2161293,-122.41807,37.21854019,-122.41808,37.217334745,-122.418075
ANR0715250502,ANT01_25,AN05,REF,1.8,15,8.333333333333334,37.21644974,-122.41633,37.21817017,-122.41644,37.217309955000005,-122.41638499999999
ANR0715250503,ANT01_25,AN05,REF,1.833333333,9,4.909090909983472,37.21657944,-122.416,37.21852112,-122.41576,37.21755028,-122.41588
ANR0717250101,ANT03_25,AN01,REF,3,33,11,37.24288177,-122.42845,37.24456024,-122.42645,37.243721005,-122.42745
ANR0717250102,ANT03_25,AN01,REF,2.916666667,27,9.257142856084899,37.24224091,-122.42808,37.24353027,-122.42591,37.24288559,-122.426995
ANR0717250103,ANT03_25,AN01,REF,2.991666667,50,16.713091920143388,37.24248123,-122.42814,37.24417877,-122.42662,37.24333,-122.42738
ANR0717250401,ANT03_25,AN04,REF,3,17,5.666666666666667,37.22333908,-122.42177,37.22446823,-122.42166,37.223903655,-122.421715
ANR0717250402,ANT03_25,AN04,REF,3,55,18.333333333333332,37.22420883,-122.42347,37.22512817,-122.42236,37.2246685,-122.42291499999999
ANR0717250403,ANT03_25,AN04,REF,3,21,7,37.22375107,-122.42345,37.22478867,-122.42246,37.22426987,-122.422955
