Drift ID,Trip ID,ID Cell per Trip,Grid Cell ID,Site (MPA/ REF),Drifting or Holding Station,Start Search Time,End Search Time,Start Time,End Time,Drift Time (hrs),BAR (+/- mins) Fishing Time,FLY (+/- mins) Fishing Time,BAT (+/- mins) Fishing Time,DPR (+/- mins) Fishing Time,SBT (+/- mins) Fishing Time,Total (+/-) Time (hrs),Number of BAT fishers,Number of FLY fishers,Number of DPR fishers,Number of SBT fishers,Number of BAR fishers,Total . Anglers Fishing,Total Angler Hrs,ST_LatDD,ST_LonDD,Start Lat/Lon GPS Waypoint,Start Lat/Lon waypoint_link,End_LatDD,End_LonDD,End Lat/Lon GPS Waypoint,End Lat/Lon waypoint_link,Drift Length (m),Recorder,Tag Crew,"Surface T (instrument, C)","Depth T ( instrument, C)","SWT (vessel, F)",Relief (1-3),Start Depth (ft),End Depth (ft),Lingcod Bar Weight (oz),Lead Weight (oz),SBT Tail Length (in),SBT Head Weight (oz),. Seals,. Sea Lions,Total Fishes Caught,Cloud Cover (0-3),Obs Wind Speed (kt),Obs Wind Direction,Obs Swell Height (ft),Secchi Depth (m),Comments,Excluded Drift Comment,Exclude:Gear-Specific CPUE
ANM0715251301,ANT01_25,ANM07152513,AN13,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,4,3,,,4,11,2.75,37.11032104,-122.34737,1718,071525_1718,37.11246872,-122.34888,1738,071525_1738,273,KM,JT,,,56,2,62,56,4,10,,,0,0,30,3,4,W,3,,,,FALSE
ANM0715251302,ANT01_25,ANM07152513,AN13,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,4,3,,,4,11,2.75,37.11090851,-122.3463,1739,071525_1739,37.11302948,-122.3477,1760,071525_1760,266,KM,JT,,,55.9,3,48,46,4,10,,,0,0,27,3,6,W,4,,,,FALSE
ANM0715251303,ANT01_25,ANM07152513,AN13,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,-2,-4,-3,0,0,-0.15,4,3,,,5,12,2.85,37.10961151,-122.34666,1761,071525_1761,37.11183167,-122.34831,1779,071525_1779,287,KM,JT,,,56,2,56,55,4,10,,,0,0,23,3,5,W,4,,Meghan Fox fishing a jig as angler #6 for this drift,,FALSE
ANM0715251401,ANT01_25,ANM07152514,AN14,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,4,3,,,4,11,2.75,37.10686111,-122.34695,1662,071525_1662,37.10863876,-122.34839,1680,071525_1680,235,KM,SP,,,56,2,74,59,4,10,,,1,0,49,3,4,W,2,,,,FALSE
ANM0715251402,ANT01_25,ANM07152514,AN14,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,4,3,,,4,11,2.75,37.10533905,-122.34487,1681,071525_1681,37.10705185,-122.34717,1700,071525_1700,279,KM,SP,,,56.1,2,61,73,4,10,,,0,0,63,3,4,W,2,,,,FALSE
ANM0715251403,ANT01_25,ANM07152514,AN14,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,-9,-4,0,0,-0.216666667,4,3,,,4,11,2.533333333,37.10569,-122.34393,1701,071525_1701,37.10758972,-122.34591,1717,071525_1717,275,KM,SP,,,56,2,52,66,4,10,,,0,2,70,3,4,W,2,,,,FALSE
ANM0716251301,ANT02_25,ANM07162513,AN13,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,-11,0,0,0,0,-0.183333333,4,4,,,4,12,2.816666667,37.10955048,-122.3472,1981,071625_1981,37.11235809,-122.34769,1994,071625_1994,315,KM,JT,,,58,2,53,52,4,10,,,0,3,14,3,5,W,3,,,,FALSE
ANM0716251302,ANT02_25,ANM07162513,AN13,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,4,4,,,4,12,3,37.10964966,-122.34677,1995,071625_1995,37.11243057,-122.34628,15,071625_15,312,KM,JT,,,58,2,58,42,4,10,,,0,1,36,3,5,W,3,,,,FALSE
ANM0716251303,ANT02_25,ANM07162513,AN13,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,-6,0,0,-0.1,4,4,,,4,12,2.9,37.11064911,-122.34632,16,071625_16,37.11338043,-122.34597,41,071625_41,305,KM,JT,,,58,2,53,40,4,10,,,0,0,29,2,5,W,3,,,,FALSE
ANM0716251901,ANT02_25,ANM07162519,AN19,MPA,Drift,1/0/1900,1/0/1900,1/0/1900,1/0/1900,0.25,0,0,0,0,0,0,4,4,,,4,12,3,37.0906601,-122.32938,1934,071625_1934,37.09255981,-122.32913,1952,071625_1952,212,KM,CD,,,57,1,103,86,4,10,,,0,2,32,2,5,W,3,,,,FALSE
