Fish ID,Drift ID,Species Code,Fork Length (mm),Total Length (mm),Length (cm),Tag ID,Gear Type,Station .,Angler ID,Depth Released (ft),Lat Released (DD),Lon Released (DD),Sex,Condition 0,Condition 1,Condition 2,Condition 3,Condition 4,Condition 5,Condition 6,Condition 7,Condition 8,All Conditions,Retained,Recapture,Comments,GPS Waypoint,waypoint_link
369,ANM0715251402,BLU,285,,,,FLY,9,A993,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
370,ANM0715251402,BLU,335,,,,BAT,13,A1008,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
371,ANM0715251402,BLU,291,,,,BAT,14,A572,61,37.105393,-122.345107,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,1682,071525_1682
372,ANM0715251402,BLU,271,,,,BAT,14,A572,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
373,ANM0715251402,BLA,484,,,47311,FLY,7,A1018,61,37.105468,-122.345232,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,1683,071525_1683
374,ANM0715251402,BLU,310,,,,BAR,2,A387,61,37.105579,-122.345436,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,1684,071525_1684
375,ANM0715251402,BLU,295,,,,BAR,2,A387,61,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hook damage to body,,071525_
376,ANM0715251402,BLU,358,,,,FLY,9,A993,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
377,ANM0715251402,BLU,284,,,,FLY,8,A1011,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
378,ANM0715251402,BLU,318,,,,BAT,13,A1008,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
379,ANM0715251402,BLU,324,,,,BAT,13,A1008,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
380,ANM0715251402,BLU,324,,,,BAT,13,A1008,61,37.105665,-122.345573,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,1685,071525_1685
381,ANM0715251402,BLU,254,,,,FLY,9,A993,61,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hook damage to eye,,071525_
382,ANM0715251402,BLU,328,,,,FLY,7,A1018,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
383,ANM0715251402,BLU,354,,,,BAT,14,A572,61,37.105719,-122.345639,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,1686,071525_1686
384,ANM0715251402,BLU,317,,,,BAT,14,A572,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
385,ANM0715251402,GPR,367,,,,BAR,1,A441,61,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,Stomach in mouth,,071525_
386,ANM0715251402,LCD,664,,,47312,BAT,11,A1015,61,37.105786,-122.345717,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,1687,071525_1687
387,ANM0715251402,BLU,329,,,47313,BAT,14,A572,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
388,ANM0715251402,BLA,345,,,47314,FLY,7,A1018,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
389,ANM0715251402,BLA,298,,,,BAR,2,A387,61,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,Stomach in mouth,,071525_
390,ANM0715251402,BLU,244,,,,BAT,14,A572,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
391,ANM0715251402,BLU,276,,,,FLY,7,A1018,61,37.106064,-122.346049,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,1688,071525_1688
392,ANM0715251402,BLU,332,,,,BAT,12,A939,61,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,071525_
