Grid Cell ID,Area,Site (MPA/ REF),Lat Center Point,Lon Center Point,Lat 1,Lon 1,Lat 2,Lon 2,Lat 3,Lon 3,Lat 4,Lon 4
PL01,PL,REF,36.58450699,-121.9830833,36.58675385,-121.9858499,36.58675385,-121.9803167,36.58226013,-121.9858499,36.58226013,-121.9803167
PL02,PL,REF,36.57960892,-121.9831608,36.58185577,-121.9859274,36.58185577,-121.9803942,36.57736206,-121.9859274,36.57736206,-121.9803942
PL03,PL,REF,36.57417297,-121.9815505,36.57641983,-121.9843171,36.57641983,-121.9787839,36.57192612,-121.9843171,36.57192612,-121.9787839
PL04,PL,REF,36.56906509,-121.9784583,36.57131195,-121.9812249,36.57131195,-121.9756917,36.56681824,-121.9812249,36.56681824,-121.9756917
PL05,PL,REF,36.56758881,-121.9724056,36.56983566,-121.9751722,36.56983566,-121.9696389,36.56534195,-121.9751722,36.56534195,-121.9696389
PL06,PL,MPA,36.52507019,-121.9425738,36.52732086,-121.9453404,36.52732086,-121.9398072,36.52282333,-121.9453404,36.52282333,-121.9398072
PL07,PL,MPA,36.52598572,-121.9521542,36.52823257,-121.9549208,36.52823257,-121.9493876,36.52373886,-121.9549208,36.52373886,-121.9493876
PL08,PL,MPA,36.52220535,-121.958254,36.52445221,-121.9610206,36.52445221,-121.9554874,36.51995468,-121.9610206,36.51995468,-121.9554874
PL09,PL,MPA,36.51380539,-121.9545696,36.51605225,-121.9573362,36.51605225,-121.951803,36.51155853,-121.9573362,36.51155853,-121.951803
PL10,PL,MPA,36.50960159,-121.9475056,36.51184845,-121.9502722,36.51184845,-121.944739,36.50735474,-121.9502722,36.50735474,-121.944739
PL11,PL,MPA,36.49071503,-121.9502251,36.49296188,-121.9529917,36.49296188,-121.9474585,36.48846817,-121.9529917,36.48846817,-121.9474585
PL12,PL,MPA,36.48888779,-121.9562111,36.49113464,-121.9589777,36.49113464,-121.9534445,36.48664093,-121.9589777,36.48664093,-121.9534445
PL13,PL,MPA,36.48586273,-121.9504221,36.48810959,-121.9531887,36.48810959,-121.9476555,36.48361588,-121.9531887,36.48361588,-121.9476555
PL14,PL,REF,36.47606659,-121.9449204,36.47831345,-121.947687,36.47831345,-121.9421538,36.47381973,-121.947687,36.47381973,-121.9421538
PL15,PL,REF,36.47146988,-121.9417672,36.47371674,-121.9445338,36.47371674,-121.9390006,36.46922302,-121.9445338,36.46922302,-121.9390006
PL16,PL,REF,36.46688461,-121.9367452,36.46913147,-121.9395118,36.46913147,-121.9339786,36.46463776,-121.9395118,36.46463776,-121.9339786
PL17,PL,REF,36.46196747,-121.9344,36.46421432,-121.9371666,36.46421432,-121.9316334,36.4597168,-121.9371666,36.4597168,-121.9316334
PLMM,PL,MPA,,,,,,,,,,
PLMN,PL,MPA,,,,,,,,,,
PLMO,PL,MPA,,,,,,,,,,
PLRR,PL,REF,,,,,,,,,,
