Grid Cell ID,Area,Site (MPA/ REF),Lat Center Point,Lon Center Point,Lat 1,Lon 1,Lat 2,Lon 2,Lat 3,Lon 3,Lat 4,Lon 4
AN01,AN,REF,37.24250031,-122.42725,37.24474716,-122.4300166,37.24474716,-122.4244834,37.24025345,-122.4300166,37.24025345,-122.4244834
AN02,AN,REF,37.23733521,-122.4265,37.23958206,-122.4292666,37.23958206,-122.4237334,37.23508453,-122.4292666,37.23508453,-122.4237334
AN03,AN,REF,37.23175049,-122.4253334,37.23399734,-122.4281,37.23399734,-122.4225667,37.22950363,-122.4281,37.22950363,-122.4225667
AN04,AN,REF,37.22525024,-122.4224167,37.2274971,-122.4251833,37.2274971,-122.4196501,37.22300339,-122.4251833,37.22300339,-122.4196501
AN05,AN,REF,37.21625137,-122.4176667,37.21849823,-122.4204333,37.21849823,-122.4149,37.21400452,-122.4204333,37.21400452,-122.4149
AN06,AN,REF,37.19691849,-122.413,37.19916534,-122.4157666,37.19916534,-122.4102334,37.19466782,-122.4157666,37.19466782,-122.4102334
AN07,AN,REF,37.19166565,-122.4105,37.19391251,-122.4132666,37.19391251,-122.4077334,37.18941879,-122.4132666,37.18941879,-122.4077334
AN08,AN,REF,37.18500137,-122.40475,37.18724823,-122.4075166,37.18724823,-122.4019834,37.18275452,-122.4075166,37.18275452,-122.4019834
AN09,AN,REF,37.16991806,-122.3816667,37.17216492,-122.3844333,37.17216492,-122.3789,37.1676712,-122.3844333,37.1676712,-122.3789
AN10,AN,REF,37.16474915,-122.3811667,37.166996,-122.3839333,37.166996,-122.3784,37.16250229,-122.3839333,37.16250229,-122.3784
AN11,AN,REF,37.16691589,-122.3745,37.16916275,-122.3772666,37.16916275,-122.3717334,37.16466904,-122.3772666,37.16466904,-122.3717334
AN12,AN,MPA,37.11674881,-122.34725,37.11899567,-122.3500166,37.11899567,-122.3444834,37.11450195,-122.3500166,37.11450195,-122.3444834
AN13,AN,MPA,37.11166763,-122.3463334,37.11391449,-122.3491,37.11391449,-122.3435667,37.10942078,-122.3491,37.10942078,-122.3435667
AN14,AN,MPA,37.10691833,-122.3463334,37.10916519,-122.3491,37.10916519,-122.3435667,37.10466766,-122.3491,37.10466766,-122.3435667
AN15,AN,MPA,37.10094833,-122.3463334,37.10319519,-122.3491,37.10319519,-122.3435667,37.09870148,-122.3491,37.09870148,-122.3435667
AN16,AN,MPA,37.09908295,-122.3404167,37.1013298,-122.3431833,37.1013298,-122.3376501,37.09683609,-122.3431833,37.09683609,-122.3376501
AN17,AN,MPA,37.09791565,-122.3345833,37.10016251,-122.3373499,37.10016251,-122.3318167,37.09566879,-122.3373499,37.09566879,-122.3318167
AN18,AN,MPA,37.09799957,-122.3283334,37.10024643,-122.3311,37.10024643,-122.3255667,37.09575272,-122.3311,37.09575272,-122.3255667
AN19,AN,MPA,37.09233475,-122.3285833,37.0945816,-122.3313499,37.0945816,-122.3258167,37.09008789,-122.3313499,37.09008789,-122.3258167
AN20,AN,MPA,37.08750153,-122.3285833,37.08974838,-122.3313499,37.08974838,-122.3258167,37.08525467,-122.3313499,37.08525467,-122.3258167
AN21,AN,MPA,37.09075165,-122.322,37.0929985,-122.3247666,37.0929985,-122.3192334,37.08850098,-122.3247666,37.08850098,-122.3192334
AN22,AN,MPA,37.09570313,-122.3166667,37.09794998,-122.3194333,37.09794998,-122.3139,37.09345627,-122.3194333,37.09345627,-122.3139
ANMM,AN,MPA,,,,,,,,,,
ANRR,AN,REF,,,,,,,,,,
PL01,PL,REF,36.58450699,-121.9830833,36.58675385,-121.9858499,36.58675385,-121.9803167,36.58226013,-121.9858499,36.58226013,-121.9803167
PL02,PL,REF,36.57960892,-121.9831608,36.58185577,-121.9859274,36.58185577,-121.9803942,36.57736206,-121.9859274,36.57736206,-121.9803942
PL03,PL,REF,36.57417297,-121.9815505,36.57641983,-121.9843171,36.57641983,-121.9787839,36.57192612,-121.9843171,36.57192612,-121.9787839
PL04,PL,REF,36.56906509,-121.9784583,36.57131195,-121.9812249,36.57131195,-121.9756917,36.56681824,-121.9812249,36.56681824,-121.9756917
PL05,PL,REF,36.56758881,-121.9724056,36.56983566,-121.9751722,36.56983566,-121.9696389,36.56534195,-121.9751722,36.56534195,-121.9696389
PL06,PL,MPA,36.52507019,-121.9425738,36.52732086,-121.9453404,36.52732086,-121.9398072,36.52282333,-121.9453404,36.52282333,-121.9398072
PL07,PL,MPA,36.52598572,-121.9521542,36.52823257,-121.9549208,36.52823257,-121.9493876,36.52373886,-121.9549208,36.52373886,-121.9493876
PL08,PL,MPA,36.52220535,-121.958254,36.52445221,-121.9610206,36.52445221,-121.9554874,36.51995468,-121.9610206,36.51995468,-121.9554874
PL09,PL,MPA,36.51380539,-121.9545696,36.51605225,-121.9573362,36.51605225,-121.951803,36.51155853,-121.9573362,36.51155853,-121.951803
PL10,PL,MPA,36.50960159,-121.9475056,36.51184845,-121.9502722,36.51184845,-121.944739,36.50735474,-121.9502722,36.50735474,-121.944739
PL11,PL,MPA,36.49071503,-121.9502251,36.49296188,-121.9529917,36.49296188,-121.9474585,36.48846817,-121.9529917,36.48846817,-121.9474585
PL12,PL,MPA,36.48888779,-121.9562111,36.49113464,-121.9589777,36.49113464,-121.9534445,36.48664093,-121.9589777,36.48664093,-121.9534445
PL13,PL,MPA,36.48586273,-121.9504221,36.48810959,-121.9531887,36.48810959,-121.9476555,36.48361588,-121.9531887,36.48361588,-121.9476555
PL14,PL,REF,36.47606659,-121.9449204,36.47831345,-121.947687,36.47831345,-121.9421538,36.47381973,-121.947687,36.47381973,-121.9421538
PL15,PL,REF,36.47146988,-121.9417672,36.47371674,-121.9445338,36.47371674,-121.9390006,36.46922302,-121.9445338,36.46922302,-121.9390006
PL16,PL,REF,36.46688461,-121.9367452,36.46913147,-121.9395118,36.46913147,-121.9339786,36.46463776,-121.9395118,36.46463776,-121.9339786
PL17,PL,REF,36.46196747,-121.9344,36.46421432,-121.9371666,36.46421432,-121.9316334,36.4597168,-121.9371666,36.4597168,-121.9316334
PLMM,PL,MPA,,,,,,,,,,
PLMN,PL,MPA,,,,,,,,,,
PLMO,PL,MPA,,,,,,,,,,
PLRR,PL,REF,,,,,,,,,,
